date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:16	110/110	---MCZ	200	added ('OK')	text/plain	etag:%22156821-1773676503;gz%22	https://utopia.com.vn/robots.txt		(from )
23:06:16	512918/512918	---MCZ	200	added ('OK')	text/html	etag:%22156809-1773657139;gz%22	https://utopia.com.vn/	C:/My%20Web%20Sites/Utopia/utopia.com.vn/index.html	(from )
23:06:16	2153/2153	---M--	200	added ('OK')	application/json	etag:%22156848-1773743925;;;%22	https://utopia.com.vn/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Futopia.com.vn%2F	C:/My%20Web%20Sites/Utopia/utopia.com.vn/index.php/wp-json/oembed/1.0/embed6293.json	(from https://utopia.com.vn/)
23:06:16	2306/2306	---M-Z	200	added ('OK')	text/xml	etag:%22156849-1773743926;gz%22	https://utopia.com.vn/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Futopia.com.vn%2F&format=xml	C:/My%20Web%20Sites/Utopia/utopia.com.vn/index.php/wp-json/oembed/1.0/embed8914	(from https://utopia.com.vn/)
23:06:16	1923/1923	---M--	200	added ('OK')	application/rss+xml	etag:%227b82a83bbec6ec0eb9e60d477ea86164%22	https://utopia.com.vn/index.php/feed/	C:/My%20Web%20Sites/Utopia/utopia.com.vn/index.php/feed/index.html	(from https://utopia.com.vn/)
23:06:17	22525/22525	---M-Z	200	added ('OK')	text/css	etag:%2257fd-688318bc-668f80f773ce3c95;gz%22	https://utopia.com.vn/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcher.css?ver=2.9.22	C:/My%20Web%20Sites/Utopia/utopia.com.vn/wp-content/plugins/translatepress-multilingual/assets/css/trp-floater-language-switcher5461.css	(from https://utopia.com.vn/)
23:06:17	3042/3042	---M-Z	200	added ('OK')	text/css	etag:%22be2-688318bc-8d4c3ac8d2bd4af8;gz%22	https://utopia.com.vn/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=2.9.22	C:/My%20Web%20Sites/Utopia/utopia.com.vn/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher5461.css	(from https://utopia.com.vn/)
23:06:17	1671/1671	---M--	200	added ('OK')	application/rss+xml	etag:%227b82a83bbec6ec0eb9e60d477ea86164%22	https://utopia.com.vn/index.php/comments/feed/	C:/My%20Web%20Sites/Utopia/utopia.com.vn/index.php/comments/feed/index.html	(from https://utopia.com.vn/)
23:06:17	7236/7236	---M-Z	200	added ('OK')	text/css	etag:%221c44-681ca685-55b96a1bd1046d26;gz%22	https://utopia.com.vn/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.4.1	C:/My%20Web%20Sites/Utopia/utopia.com.vn/wp-content/themes/hello-elementor/header-footer.min5589.css	(from https://utopia.com.vn/)
23:06:17	53416/53416	---M-Z	200	added ('OK')	text/css	etag:%22d0a8-69b7dc2f-1ce84b776a2d645c;gz%22	https://utopia.com.vn/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1773657135	C:/My%20Web%20Sites/Utopia/utopia.com.vn/wp-content/uploads/elementor/css/custom-frontend.min78ef.css	(from https://utopia.com.vn/)
